student id,student name,accounting,management,entrpreneurship development,english,constitutional studies,interests,attendence,borrowed book 1,borrowed book 2
18,Jacob Farrant,62.71,63.99,71.26,75.6,74.17,Resource Program,60.3,"Bhartiya Arthvyawastha ka Sankaraman Kaal : C T Kurian ke
Samman mein Nibandh Sankalan","Marketing Management-Concepts and Cases”,"
19,Luke Robertson,68.98,61.15,58.06,67.8,56.33,Physical Education,57.8,Business Interests and the Environmental Crisis,Human Resource Management
20,Kieth Corbett,40.53,39.14,46.96,42.67,26.45,Accounting,53.4,"Capital Market Reform in Asia : Towards Developed and
Integrated Markets in Times of Change","Essentials of Financial Accounting,"
21,Nathan Walker,56.64,57.59,56.62,52.72,57.21,Instrumental Music,33.5,"Cash, Corruption and Economic Development",Advertising and Promotion Management
22,Lucas Bradley,64.43,68.25,81.6,77.41,64.66,Physical Education,78.4,"Caste-Based Reservations and Human Development in
India",Introduction to Computers
23,Allison Coll,42.66,53.93,55.5,54.3,64.98,Modern Literature,60.0,Central Banking in Turbulent Times,"Introduction To Information Technology,"
24,divya,46.36,48.8,62.43,65.19,62.0,Ancient Civilizations,83.8,"China and India : History, Culture, Cooperation and
Competition",Web Commerce Technology Hand Book
25,mansi,71.36,65.35,79.71,83.17,71.67,English IV,74.4,Cities and Public Policy : An Urban Agenda for India,IFRS (Red Book).
26,mazida,86.0,94.01,98.0,89.55,89.94,LOGIC,79.2,,Brand Management
27,pooja,51.03,53.91,57.52,58.06,50.33,Leadership,61.7,"Contemporary Practices of Mahatma Gandhi National
Rural Employment Guarantee Scheme : Insights from
Districts",Training and Development Methods
28,kajal,82.45,89.69,71.64,77.67,73.18,Resource Program,85.5,"Contemporary Topics in Finance - A Collection of Literature
Surveys",Questionnaire Design
29,meena,28.1,44.42,52.0,36.38,57.71,Music,45.6,"Corporate Reputation and Social Activism : Strategic
Interaction, Firm Behavior, and Social Welfare","Corporate Governance (Indian Edition),"
30,sonam,53.28,61.04,63.77,70.42,57.28,Handwriting,49.4,Creative Globalization,Fundamentals of Computers
31,buity,38.85,38.21,33.88,46.26,52.59,Handwriting,58.0,"Dainik Jeevan Mein Arthshastra : Vikas Ke Kshetra Me
Karyrat Peshevaron Ke Liye Saral Margdarshika",Information Technology
32,hina,76.68,85.1,72.8,73.62,77.21,History,87.7,Dalits in Modern India : Vision and Values,Managerial Economics
33,Liliana Rosenbloom,71.55,67.58,81.64,77.5,60.18,Economics,66.6,"Decentralization, Forests and Rural Communities : Policy
Outcomes in Southeast Asia",Quantitative Methods for Business
34,Rocco Mills,75.95,78.38,95.09,73.1,78.79,Health,72.0,"Democratizing Development :
Social Justice in India",Cost Accounting
35,Hope Mullins,39.63,52.71,43.38,41.01,46.0,Language Arts,39.2,Demonetisation : A means to an End?,
36,Clarissa Edmonds,71.1,58.73,73.39,67.86,76.81,English IV,58.8,Development and Distribution,LIST OF BOOKS FOR DEPARTMENT OF COMMERCE
37,Cedrick Hopkinson,53.71,63.47,55.72,60.49,44.02,Language Arts,60.6,"Development Under Stress : Sri Lankan Economy in
Transition",NAME OF BOOK
38,Deborah Willson,59.39,49.68,51.8,49.24,42.71,Geography,62.0,Developmentalism as Strategy,Ethics and the Conduct of Business
39,Keira Smith,60.01,62.98,72.2,70.87,62.51,American Literature,58.0,"Diminishing Returns at Work : The Consequences of Long
Working Hours",Business management
40,Johnathan Tennant,69.35,63.18,76.85,84.15,64.27,Language Arts,47.4,Econometric Analysis: International Edition,Management
41,Vicky Broomfield,61.14,61.03,65.53,67.79,42.15,Trigonometry,57.5,Economic Democracy through Pro Poor Growth,Principles and Practice of Management
42,Cadence Carpenter,51.57,51.33,63.86,47.06,46.27,Earth Science,58.1,"Economic Growth with Social Justice : Collected Writings of
Mahbub ul Haq",Fundamentals of Corporate Accounting
43,Johnny Alexander,46.22,60.22,51.02,48.93,33.47,Instrumental Music,51.4,"Economic Reforms in India and China : Emerging Issues and
Challenges",Advanced Accounts
44,Angelique Robinson,86.93,71.4,95.98,82.73,81.72,Sociology,64.0,"Economics in Action : An Easy Guide for Development
Practitioners",Financial Accounting
45,Denny Grey,77.69,65.27,60.96,61.11,57.04,English IV,70.5,Embodying Integral Development : A Holistic Approach,Advanced Accounting
46,Josh Antcliff,73.09,63.57,79.29,70.25,78.32,Physical Education,59.5,Title,The Principles of Mercantile Law
47,Samantha Russell,98.0,95.75,98.0,98.0,88.93,Instrumental Music,80.7,"A Concise Handbook of the Indian Economy in the 21st
Century",Introduction to Accounting
48,Tess Robertson,57.33,47.69,52.42,54.92,54.31,Music,36.4,"A Population History of India : From the First Modern
People to the Present Day",Cost Accounting
49,Judith Vince,91.67,90.3,98.0,98.0,90.02,Speech,100.0,A Research on China’s Economic Growth Potential,Cost Accounting
50,Barry Gibbons,98.0,98.0,98.0,98.0,98.0,Language Arts,88.6,Agriculture in Developing Countries : Technology Issues,Principles of Company Law.
51,Andrea Martin,97.4,91.92,95.0,85.88,78.17,LOGIC,64.5,An Introduction to Econometric Theory,Working in Microsoft office
52,Penelope Uttley,70.94,78.4,75.87,82.66,79.93,Science,71.9,"Analysing Social Opposition to Reforms : The Electricity
Sector in India",Personal Management and Human Resources
53,Abdul Rodwell,39.95,61.8,52.85,65.8,39.34,Geography,66.1,Analytical Political Economy,An Introduction to Accountancy
54,Kassandra Edley,72.41,58.39,83.56,92.89,67.49,Health,78.3,"Arthik Sudhar aur Samajik Apvarjan : Bhaarat Mein
Upekshit Samuhon Par Udareekaran Ka Prabhav",: Management Accounting
55,Rick Quinton,55.21,63.99,53.5,47.79,46.05,Language Arts,48.0,Ascent and Decline of Native and Colonial Trading,"Basic Marketing Concepts, Decisions and Strategy"
56,Ember Spencer,53.76,66.57,52.57,62.55,55.2,Geography,56.6,"Banking and Finance: Theory, Law & Practice",Fundamentals of Marketing
57,Benjamin Asher,57.78,55.05,55.8,48.41,54.89,Music,65.1,"Beyond Gandhian Economics : Towards a Creative
Deconstruction",Fundamentals of Statistics
58,Juliette Pearson,60.71,65.49,72.32,69.65,61.11,LOGIC,44.3,"Beyond Relocation : The Imperative of Sustainable
Resettlement",Business Law
59,Wade Spencer,71.55,89.06,92.89,81.49,65.03,Geography,86.4,Bharat 2050 : Sthayi Samriddhi ki Yojana,Cost Accounting
60,Wendy Antcliff,57.13,49.68,53.65,55.14,43.55,Resource Program,28.1,Bharat ki Videsh Neeti : Chunauti aur Ranneeti,Management Accounting.
61,Savannah Vaughan,43.06,53.41,55.4,32.36,40.9,Accounting,55.3,"Bhartiya Arthavyavsthechi Sankramanavastha : C.T.
kuriyen yanchya sanmanaarth nibandh",Methodology and Techniques of Social Research
62,Destiny Oswald,36.56,40.54,39.94,46.68,50.23,Science,52.3,"Bhartiya Arthvyawastha ka Sankaraman Kaal : C T Kurian ke
Samman mein Nibandh Sankalan",Research Methodology
63,Martin Yang,31.92,39.97,49.06,47.71,49.58,Sociology,64.9,Business Interests and the Environmental Crisis,"Corporate Governance, Business Ethics, and CSR,"
64,Harry Nash,52.66,35.14,49.61,41.48,32.12,Grammar,32.9,"Capital Market Reform in Asia : Towards Developed and
Integrated Markets in Times of Change",Business Economics
65,Adeline Myatt,36.67,51.43,51.22,47.54,44.61,American Literature,56.7,"Cash, Corruption and Economic Development",
66,Rosalee Middleton,60.48,86.1,90.42,83.4,66.39,History,84.4,"Caste-Based Reservations and Human Development in
India",LIST OF BOOKS FOR DEPARTMENT OF COMMERCE- Reference
67,Clint Bloom,48.31,44.85,62.69,46.44,51.69,Trigonometry,72.2,"Employment and Labour Market in Northeast India:
Interrogating Structural Changes",NAME OF BOOK
68,Chanelle Phillips,57.46,68.09,81.59,74.77,62.37,Language Arts,52.5,"Employment and Unemployment in India : Emerging
Tendencies During the Post-Reform Period","Management: Tasks, Responsibilities and Practices"
69,Angelina Walton,51.87,36.85,50.81,29.27,37.04,Leadership,71.3,"Environment and Development : Essays in Honour of Dr U.
Sankar",Advanced Accounts
70,Alex Walsh,65.08,59.43,73.97,66.68,70.59,Instrumental Music,47.9,Environment and Fiscal Reforms in India,Fundamental of Financial Accounting
71,Selena Hooper,34.33,38.27,45.6,32.62,34.61,Ancient Civilizations,45.0,"Environmental Accounting, Sustainability and
Accountability",Risk Management in Finance
72,Oliver May,48.24,66.29,52.93,50.68,58.25,Economics,61.3,Environmental Economics and Sustainability,India Accounting Standards
73,Doug Saunders,95.99,98.0,98.0,98.0,98.0,Spanish,77.6,Essential Mathematics for Economic Analysis,Illustrated Guide to India Accounting Standards
74,Lorraine Haines,49.33,49.2,54.51,50.79,66.93,American Literature,54.7,Evolution of Banking System in India since 1900,Company Law and Secretarial Practice.
75,Jack Phillips,83.9,74.31,71.53,73.58,66.96,Instrumental Music,69.7,"Finance and Financial Intermediation : A Modern
Treatment of Money, Credit, and Banking",Guide to Company Law Procedures.
76,Chadwick Sawyer,68.32,64.94,67.92,57.02,50.87,Art,62.4,"Financial Intermediation in a Less Developed Economy :
The History of the United Bank of India
Financing Cities : Fiscal Responsibility and Urban",Management Information Systems
77,Selena Bailey,58.33,60.42,62.13,59.28,47.6,Physical Education,78.3,"Infrastructure in Brazil, China, India, Poland and South
Africa",Management Information Systems: Managerial Perspectives
78,William Morley,44.69,50.22,39.88,60.93,47.31,German,37.9,"Fiscal Consolidation, Budget Deficits and the Macro
Economy",Currency Banking & Exchange
79,Johnny Glynn,75.54,87.01,82.26,76.36,83.54,Earth Science,85.3,"Fiscal Therapy : Curing America's Debt Addiction and
Investing in the Future",Professional Business Skills 2nd Edition
80,Chester Terry,61.56,54.44,47.94,52.42,48.0,Sociology,64.6,Food Security in Asia,Financial Management in Hotels and Restaurant Industry
81,Benny Gordon,85.03,84.39,98.0,83.56,81.76,Resource Program,70.9,Formal Labour Market in Urban India,Principles of Accounting &Advanced Accounting
82,Josephine Ingham,50.11,60.72,49.96,50.43,46.93,Modern Literature,67.8,"Game Theory Approach to Managerial Strategies and
Value Creation",Professional Communication Skills
83,Maxwell Wilde,59.49,70.41,59.64,55.39,66.6,Physical Education,72.0,"Global Algorithmic Capital Markets : High Frequency
Trading, Dark Pools, and Regulatory Challenges",Marketing Management” (Latest Edition)-
84,Luna Thomas,62.88,67.59,76.55,63.49,66.94,Art,68.5,Globalization : India's Adjustment Experience,"Marketing Management-Concepts and Cases”,"
85,Henry Payne,83.29,58.85,67.25,62.73,61.55,Health,64.7,"Globalization and Indigenous Peoples in Asia : Changing
the Local-Global Interface",Human Resource Management
86,Barney Oliver,38.06,32.17,34.25,46.75,36.82,Music,31.4,"Globalization of Legal Services and Regulatory Reforms :
Perspectives and Dynamics from India","Essentials of Financial Accounting,"
87,Phillip Snow,41.99,43.02,49.43,54.26,38.68,Latin,41.3,"Grameen Vikas : Siddhant, Neetiyan evam Prabandh",Advertising and Promotion Management
88,Hope Harrison,64.08,53.57,64.07,50.3,51.78,Handwriting,61.6,"Groundwater Management in India : Physical, Institutional
and Policy Alternatives",Introduction to Computers
89,Gwen Mullins,46.01,47.38,67.62,49.21,46.95,Design and technology,60.2,Central Banking in Turbulent Times,"Introduction To Information Technology,"
90,Bryon Styles,78.0,66.52,70.11,67.01,60.88,French,60.2,"China and India : History, Culture, Cooperation and
Competition",Web Commerce Technology Hand Book
91,Nick Hunter,52.51,67.47,56.54,72.6,72.61,Mathematics,57.8,Cities and Public Policy : An Urban Agenda for India,IFRS (Red Book).
92,Gil Goodman,18.0,39.46,35.61,25.29,27.32,Instrumental Music,35.5,,Brand Management
93,Davina Johnson,31.52,35.25,33.5,28.54,31.67,Economics,22.6,"Contemporary Practices of Mahatma Gandhi National
Rural Employment Guarantee Scheme : Insights from
Districts",Training and Development Methods
94,Michael Healy,44.65,40.81,51.51,33.34,40.25,Ancient Civilizations,74.5,"Contemporary Topics in Finance - A Collection of Literature
Surveys",Questionnaire Design
95,Francesca Bullock,56.23,59.33,58.97,58.2,57.87,Ecology,51.8,"Corporate Reputation and Social Activism : Strategic
Interaction, Firm Behavior, and Social Welfare","Corporate Governance (Indian Edition),"
96,Vera Flack,96.39,84.05,82.09,98.0,95.03,Latin,72.9,Creative Globalization,Fundamentals of Computers
97,Celia Stanton,54.76,42.47,58.24,60.69,48.66,Latin,46.9,"Dainik Jeevan Mein Arthshastra : Vikas Ke Kshetra Me
Karyrat Peshevaron Ke Liye Saral Margdarshika",Information Technology
98,Karen Gosling,67.81,59.05,72.03,57.98,66.18,Dramatics,50.2,Dalits in Modern India : Vision and Values,Managerial Economics
99,Camellia Drew,38.05,49.17,55.14,25.3,44.45,Speech,48.3,"Decentralization, Forests and Rural Communities : Policy
Outcomes in Southeast Asia",Quantitative Methods for Business
100,Makena Sloan,34.3,39.93,43.9,49.62,47.51,Grammar,70.6,"Democratizing Development :
Social Justice in India",Cost Accounting
101,John Corbett,23.64,32.18,35.09,32.45,40.21,Health,28.2,Demonetisation : A means to an End?,
102,Quinn Smith,53.02,67.29,59.56,76.81,45.71,Music,58.9,Development and Distribution,LIST OF BOOKS FOR DEPARTMENT OF COMMERCE
103,Chester Torres,92.02,77.45,84.59,89.91,74.69,Speech,77.1,"Development Under Stress : Sri Lankan Economy in
Transition",NAME OF BOOK
104,Cassidy Wilson,43.63,57.19,52.11,51.03,44.09,Geography,46.2,Developmentalism as Strategy,Ethics and the Conduct of Business
105,Erica Rowan,74.12,84.16,81.24,88.01,82.28,Dramatics,90.3,"Diminishing Returns at Work : The Consequences of Long
Working Hours",Business management
106,Joseph Eddison,68.81,65.75,68.69,70.53,62.69,Economics,59.7,Econometric Analysis: International Edition,Management
107,Leanne Rees,60.06,49.59,60.38,55.12,46.65,Modern Literature,46.0,Economic Democracy through Pro Poor Growth,Principles and Practice of Management
108,Clint Waterhouse,67.54,72.16,80.24,71.82,64.11,Resource Program,61.6,"Economic Growth with Social Justice : Collected Writings of
Mahbub ul Haq",Fundamentals of Corporate Accounting
109,Oliver Graves,55.58,70.93,65.66,71.24,69.19,Music,65.1,"Economic Reforms in India and China : Emerging Issues and
Challenges",Advanced Accounts
110,Logan Jeffery,69.55,85.53,88.75,79.24,78.63,Language Arts,62.2,"Economics in Action : An Easy Guide for Development
Practitioners",Financial Accounting
111,Taylor Reid,47.6,44.83,60.14,55.89,49.15,LOGIC,54.8,Embodying Integral Development : A Holistic Approach,Advanced Accounting
112,Callie Boyle,18.0,18.0,33.13,25.44,20.13,Mathematics,46.3,"Growth and Development in Emerging Market Economies :
International Private Capital Flow, Financial Markets and
Globalization",The Principles of Mercantile Law
113,Elly Blackwall,60.91,69.92,71.84,61.36,51.49,English IV,52.5,GST and Its Aftermath : Is consumer really the King ?,Introduction to Accounting
114,Enoch Stone ,56.1,37.9,54.75,50.99,61.12,LOGIC,74.4,"How Lives Change : Palanpur, India, and Development
Economics",Cost Accounting
115,Judith Wilson,51.79,62.8,64.43,64.1,59.66,Design and technology,41.5,How to Combat Recession : Stimulus without Debt,Cost Accounting
116,Adalie Griffiths,69.95,90.57,94.35,76.9,75.53,Modern Literature,84.2,Human Development in an Unequal World,Principles of Company Law.
117,Julianna Matthews,47.19,52.24,51.51,38.61,43.34,Trigonometry,20.5,"Inclusive Economics : Gandhian Method and
Contemporary Policy",Working in Microsoft office
118,Rocco Exton,64.67,77.6,69.68,71.39,54.03,Grammar,78.8,"Inclusive Innovation for Development : Meeting the
Demands of Justice through Public Action",Personal Management and Human Resources
119,Harry Khan,71.25,71.98,71.89,70.42,76.4,Design and technology,53.5,India Macroeconomics Annual 2006,An Introduction to Accountancy
120,Rufus Milner,67.76,58.4,65.07,65.96,66.4,Health,50.0,India Macroeconomics Annual 2009,: Management Accounting
121,Jackeline Hudson,78.88,74.13,83.39,68.59,72.8,Dramatics,72.6,Indian Economy: A Macro-theoretic Analysis,"Basic Marketing Concepts, Decisions and Strategy"
122,Violet Bristow,53.0,54.9,61.75,52.45,57.76,Basic Math,44.3,Indian Microfinance : The Challenges of Rapid Growth,Fundamentals of Marketing
123,Chris Selby,49.83,58.97,49.42,51.19,49.56,Sociology,62.0,"India's Economy and Growth : Essays in Honour of V K R V
Rao",Fundamentals of Statistics
124,Aiden Miller,69.91,67.82,81.63,73.62,62.69,Leadership,64.0,India's Financial Sector : An Era of Reforms,Business Law
125,Margot Doherty,70.15,79.84,77.28,69.92,67.76,Sociology,79.7,India's Liberalisation Experience : Hostage to WTO?,Cost Accounting
126,Megan Morrison,74.32,87.49,84.02,83.19,70.49,Modern Literature,85.2,"India's Long-Term Growth Experience : Lessons and
Prospects",Management Accounting.
127,Iris Gates,62.76,57.23,71.09,63.85,58.43,Modern Literature,61.0,"Industrial Development and Displacement : The People of
Korba",Methodology and Techniques of Social Research
128,Gabriel Ebbs,81.83,88.0,72.68,85.69,86.29,Grammar,96.8,Industrial Economics and Telecommunication Regulations,Research Methodology
129,Freya Moore,43.85,55.54,52.58,57.42,52.93,History,56.0,"Industrial Restructuring in Asia : Implications of the Global
Economic Crisis","Corporate Governance, Business Ethics, and CSR,"
130,Logan Griffiths,43.34,45.39,44.01,41.55,47.46,Health,56.4,"Informal Economy Centrestage : New Structures of
Employment",Business Economics
131,Elijah Wild,27.11,40.38,34.07,23.89,36.99,Grammar,27.7,"Innovation Driven Institutional Research : Towards Integral
Development","Management: Tasks, Responsibilities and Practices"
132,Benny Bingham,44.26,39.96,50.92,40.29,23.81,German,42.8,"International Economics: Theory and Policy, Global Edition","Management: Tasks, Responsibilities and Practices"
133,Sebastian Snow,69.84,65.2,77.29,68.02,59.77,Ecology,76.3,International Trade : The Basics,"A Concise Handbook of the Indian Economy in the 21st
Century"
134,Bethany Harvey,33.33,26.24,38.74,51.4,31.97,LOGIC,38.2,"Employment and Labour Market in Northeast India:
Interrogating Structural Changes","A Population History of India : From the First Modern
People to the Present Day"
135,Louise Rothwell,48.08,51.37,64.65,50.95,61.18,Handwriting,47.6,"Employment and Unemployment in India : Emerging
Tendencies During the Post-Reform Period",A Research on China’s Economic Growth Potential
136,Jayden Purvis,87.82,91.75,98.0,98.0,88.27,Instrumental Music,83.4,"Environment and Development : Essays in Honour of Dr U.
Sankar",Agriculture in Developing Countries : Technology Issues
137,Tony Wilson,59.34,65.95,88.29,65.5,70.69,Leadership,86.1,Environment and Fiscal Reforms in India,An Introduction to Econometric Theory
138,Noemi Coates,86.12,72.84,95.94,91.31,87.94,Ancient Civilizations,89.9,"Environmental Accounting, Sustainability and
Accountability","Analysing Social Opposition to Reforms : The Electricity
Sector in India"
139,Bryon Devonport,46.34,43.98,35.39,54.1,31.67,Physical Education,70.0,Environmental Economics and Sustainability,Analytical Political Economy
140,William Ellis,18.96,30.52,18.0,18.0,24.24,Economics,36.5,Essential Mathematics for Economic Analysis,"Arthik Sudhar aur Samajik Apvarjan : Bhaarat Mein
Upekshit Samuhon Par Udareekaran Ka Prabhav"
141,Liam Hancock,98.0,78.42,84.06,82.73,83.35,Mathematics,89.2,Evolution of Banking System in India since 1900,Ascent and Decline of Native and Colonial Trading
142,Owen Lomax,29.24,36.04,46.86,35.69,50.48,German,18.2,"Finance and Financial Intermediation : A Modern
Treatment of Money, Credit, and Banking","Banking and Finance: Theory, Law & Practice"
143,Johnathan Wilton,63.83,60.19,58.17,58.88,58.24,Music,70.8,"Financial Intermediation in a Less Developed Economy :
The History of the United Bank of India
Financing Cities : Fiscal Responsibility and Urban","Beyond Gandhian Economics : Towards a Creative
Deconstruction"
144,George Simpson,60.74,63.77,80.29,56.94,59.75,Leadership,86.4,"Infrastructure in Brazil, China, India, Poland and South
Africa","Beyond Relocation : The Imperative of Sustainable
Resettlement"
145,Danny Stevens,46.62,51.8,38.92,47.69,44.2,Geography,37.5,"Fiscal Consolidation, Budget Deficits and the Macro
Economy",Bharat 2050 : Sthayi Samriddhi ki Yojana
146,shaswata pal,83.69,89.04,83.41,89.01,89.03,music,66.4,"Fiscal Therapy : Curing America's Debt Addiction and
Investing in the Future",Bharat ki Videsh Neeti : Chunauti aur Ranneeti
147,Doug Bloom,82.21,86.59,67.28,86.63,95.74,English IV,81.3,Food Security in Asia,"Bhartiya Arthavyavsthechi Sankramanavastha : C.T.
kuriyen yanchya sanmanaarth nibandh"
148,Sylvia Swift,58.26,83.88,81.88,66.1,80.35,Design and technology,56.8,Formal Labour Market in Urban India,"Bhartiya Arthvyawastha ka Sankaraman Kaal : C T Kurian ke
Samman mein Nibandh Sankalan"
149,Bridget Price,65.86,59.56,52.41,63.98,63.59,Music,63.3,"Game Theory Approach to Managerial Strategies and
Value Creation",Business Interests and the Environmental Crisis
150,Adela Evans,58.85,67.98,57.77,55.37,51.04,Speech,67.8,"Global Algorithmic Capital Markets : High Frequency
Trading, Dark Pools, and Regulatory Challenges","Capital Market Reform in Asia : Towards Developed and
Integrated Markets in Times of Change"
151,Martin Rose,48.35,43.07,41.67,54.78,30.77,Instrumental Music,52.9,Globalization : India's Adjustment Experience,"Cash, Corruption and Economic Development"
152,Hayden Graham,51.49,68.48,66.03,51.14,61.46,History,75.2,"Globalization and Indigenous Peoples in Asia : Changing
the Local-Global Interface","Caste-Based Reservations and Human Development in
India"
153,Michaela Adler,57.45,62.14,76.71,65.2,56.19,Leadership,53.0,"Globalization of Legal Services and Regulatory Reforms :
Perspectives and Dynamics from India",Central Banking in Turbulent Times
154,Lucy Bowen,33.35,40.63,51.05,29.04,39.05,Basic Math,53.9,"Grameen Vikas : Siddhant, Neetiyan evam Prabandh","China and India : History, Culture, Cooperation and
Competition"
155,Tom Shields,68.57,69.14,75.55,78.34,76.89,Art,86.7,"Groundwater Management in India : Physical, Institutional
and Policy Alternatives",Cities and Public Policy : An Urban Agenda for India
156,Peter Gilbert,32.9,35.27,30.5,42.04,48.52,Sociology,51.9,"Job Creation and Poverty Reduction in India : Towards
Rapid and Sustained Growth",
157,Matthew Paterson,48.56,53.62,56.7,55.3,62.08,Latin,54.1,"Jumpstarting South Asia : Revisiting Economic Reforms and
Look East Policies","Contemporary Practices of Mahatma Gandhi National
Rural Employment Guarantee Scheme : Insights from
Districts"
158,Tom Rossi,18.0,33.22,27.97,18.06,33.12,Speech,41.4,Land Policies for Equity and Growth : Transforming the,"Contemporary Topics in Finance - A Collection of Literature
Surveys"
159,Leilani Purvis,60.08,68.92,74.82,81.94,63.73,Accounting,56.4,Agrarian Structure in Uttar Pradesh,"Corporate Reputation and Social Activism : Strategic
Interaction, Firm Behavior, and Social Welfare"
160,Rocco Overson,70.89,65.54,78.16,72.35,72.09,Basic Math,44.2,Land Reforms in India : Computerisation of Land Records,Creative Globalization
161,Erin Healy,81.49,68.21,64.75,77.93,60.84,Health,47.8,"Lectures in Macroeconomics : A Capitalist Economy
Without Unemployment","Dainik Jeevan Mein Arthshastra : Vikas Ke Kshetra Me
Karyrat Peshevaron Ke Liye Saral Margdarshika"
162,Emmanuelle Speed,98.0,98.0,95.09,98.0,98.0,French,100.0,"Macroeconomic Policies for Emerging and Developing
Economies",Dalits in Modern India : Vision and Values
163,Ramon Malone,64.17,67.4,78.02,63.74,67.47,Physical Education,55.5,Macroeconomics,"Decentralization, Forests and Rural Communities : Policy
Outcomes in Southeast Asia"
164,Brad Eagle,42.83,39.41,45.48,41.14,44.86,Leadership,41.0,Macroeconomics : Theories & Policies,"Democratizing Development :
Social Justice in India"
165,Percy Walton,95.65,91.13,98.0,96.56,98.0,Modern Literature,81.3,"Macroeconomics Simplified : Understanding Keynesian and
Neoclassical Macroeconomic Systems",Demonetisation : A means to an End?
166,Lillian Cattell,43.64,41.42,58.13,43.97,43.58,Latin,60.8,"Macroeconomics, Global Edition",Development and Distribution
167,Kieth Hamilton,60.74,60.94,84.21,61.93,68.15,Sociology,55.9,Macroeconomics: Pearson New International Edition,"Development Under Stress : Sri Lankan Economy in
Transition"
168,Nate Gunn,50.69,79.64,67.86,88.55,74.88,Instrumental Music,93.3,"Making Growth Happen in India : A Road Map for Policy
Success",Developmentalism as Strategy
169,Danny Saunders,52.02,53.67,53.43,44.42,50.8,German,38.8,Managerial Economics,"Diminishing Returns at Work : The Consequences of Long
Working Hours"
170,Deborah Gray,90.68,92.75,74.25,88.46,79.18,English IV,86.1,Managerial Economics,Econometric Analysis: International Edition
171,Alan Mooney,63.05,57.83,59.33,60.43,64.53,Art,56.5,Managerial Economics,Economic Democracy through Pro Poor Growth
172,Rocco Saunders,57.85,73.2,86.43,68.62,78.71,French,50.0,Managerial Economics,"Economic Growth with Social Justice : Collected Writings of
Mahbub ul Haq"
173,Daniel Page ,53.52,46.79,54.8,54.57,48.65,Economics,55.3,"Micro-Credit, Poverty and Empowerment : Linking the
Triad","Economic Reforms in India and China : Emerging Issues and
Challenges"
174,Adina Cork,78.45,85.63,65.3,86.43,67.84,Dramatics,86.8,Microeconomics: An Advanced Treatise,"Economics in Action : An Easy Guide for Development
Practitioners"
175,Ethan Redfern,39.38,52.69,47.67,48.83,41.95,Latin,51.6,Modern Banking,Embodying Integral Development : A Holistic Approach
176,Moira Murphy,36.09,41.16,37.26,20.72,19.31,Grammar,48.8,Money and Banking,Title
